PoiID,FirstLevel,SecondLeve,ZoneID
1341,1,7,28
1342,6,13,28
1343,12,130,28
1344,19,174,28
1345,12,131,28
1346,19,75,28
1347,5,155,28
1348,1,7,61
1349,13,156,61
1350,2,119,61
1351,5,155,61
1352,9,147,61
1353,12,23,61
1354,16,52,61
1355,3,24,61
1356,12,131,61
1357,13,64,61
1358,3,24,38
1359,13,64,38
1360,6,13,38
1361,4,36,38
1362,18,165,38
1363,12,141,38
1364,12,78,38
1365,12,128,38
1366,12,128,38
1367,4,179,38
1368,8,56,63
1369,16,52,63
1370,13,49,63
1371,4,19,63
1372,4,19,63
1373,9,92,63
1374,6,33,63
1375,8,56,63
1376,20,0,63
1377,3,24,63
1378,13,156,51
1379,18,165,51
1380,7,157,51
1381,16,52,51
1382,4,179,51
1383,7,86,51
1384,10,99,51
1385,16,52,51
1386,4,179,51
1387,12,131,51
1388,13,64,45
1389,0,145,45
1390,5,155,45
1391,20,177,45
1392,20,0,45
1393,4,179,45
1394,16,162,45
1395,16,160,25
1396,19,174,25
1397,5,44,25
1398,16,52,25
1399,17,20,25
1400,3,24,25
1401,19,174,25
1402,16,52,25
1403,0,145,25
1404,12,131,25
1405,4,179,72
1406,3,24,72
1407,16,52,72
1408,8,56,72
1409,4,179,72
1410,7,138,72
1411,13,154,72
1412,5,44,72
1413,12,78,72
1414,13,64,72
1415,8,56,76
1416,12,170,76
1417,16,52,76
1418,3,47,76
1419,9,67,76
1420,1,164,76
1421,3,24,76
1422,16,52,76
1423,19,75,76
1424,13,154,76
1425,6,13,87
1426,1,7,87
1427,13,57,87
1428,8,56,87
1429,9,67,87
1430,5,155,87
1431,0,145,87
1432,12,120,87
1433,5,155,87
1434,0,145,87
1435,19,75,80
1436,3,24,80
1437,4,129,80
1438,13,154,80
1439,12,141,80
1440,7,157,80
1441,4,179,80
1442,5,159,80
1443,4,179,80
1444,13,64,80
1445,0,145,96
1446,12,131,96
1447,2,119,96
1448,6,13,96
1449,16,52,96
1450,13,154,96
1451,0,146,96
1452,4,19,96
1453,19,75,96
1454,1,7,96
1455,4,19,101
1456,12,127,101
1457,13,4,101
1458,16,52,101
1459,0,148,101
1460,11,116,101
1461,12,141,101
1462,16,59,101
1463,13,154,101
1464,12,74,101
1465,18,165,55
1466,18,165,55
1467,21,180,55
1468,8,56,55
1469,1,7,55
1470,1,8,55
1471,16,52,55
1472,20,0,211
1473,1,7,211
1474,7,29,211
1475,1,18,211
1476,17,20,211
1477,4,19,211
1478,8,56,211
1479,2,125,211
1480,13,154,211
1481,13,4,211
1482,13,4,107
1483,0,145,107
1484,4,19,107
1485,8,56,107
1486,12,127,107
1487,3,24,107
1488,19,174,107
1489,13,4,107
1490,0,145,107
1491,13,4,107
1492,1,164,115
1493,12,128,115
1494,1,18,115
1495,12,128,115
1496,13,154,115
1497,2,143,115
1498,3,24,115
1499,11,118,115
1500,4,19,115
1501,4,19,115
1502,18,165,120
1503,0,148,120
1504,5,155,120
1505,5,155,120
1506,0,146,120
1507,0,146,120
1508,0,148,120
1509,5,155,120
1510,13,4,120
1511,5,155,120
1512,7,157,183
1513,3,24,183
1514,3,24,183
1515,3,24,183
1516,18,165,183
1517,7,157,183
1518,0,146,183
1519,1,18,183
1520,7,157,183
1521,12,128,183
1522,13,4,86
1523,7,157,86
1524,8,140,86
1525,13,64,86
1526,4,19,86
1527,3,24,86
1528,7,157,86
1529,7,86,86
1530,3,24,86
1531,20,0,86
1532,6,33,201
1533,3,24,201
1534,5,159,201
1535,0,146,201
1536,5,155,201
1537,13,4,201
1538,2,119,201
1539,8,56,201
1540,16,163,201
1541,16,163,201
1542,13,4,94
1543,19,174,94
1544,4,19,94
1545,16,52,94
1546,16,52,94
1547,3,24,259
1548,13,172,259
1549,6,13,259
1550,20,177,259
1551,4,179,259
1552,13,4,259
1553,8,140,259
1554,11,118,259
1555,11,116,259
1556,13,4,259
1557,13,49,130
1558,16,52,130
1559,7,157,130
1560,0,6,130
1561,7,157,130
1562,20,0,130
1563,2,119,130
1564,10,96,130
1565,7,157,130
1566,13,64,130
1567,4,19,108
1568,20,177,108
1569,8,56,108
1570,20,0,108
1571,4,19,108
1572,20,81,108
1573,19,174,108
1574,8,56,108
1575,11,116,108
1576,20,0,108
1577,4,19,128
1578,5,155,128
1579,7,157,128
1580,13,4,128
1581,5,45,128
1582,13,64,128
1583,19,174,128
1584,7,157,128
1585,8,140,128
1586,5,155,128
1587,13,64,99
1588,6,33,99
1589,20,81,99
1590,7,157,99
